Transaction|AverageResponseTimeInSec
/custCaseMgmt/admin/caseNotification.xhtml|0.81
/custCaseMgmt/encounter/createCaseDetails.xhtml|0.118
/custCaseMgmt/encounter/maintainCase.xhtml|1.645
/custIdx/pages/cust/advancedcustSearch.faces|0.720614
/custIdx/pages/cust/advancedcustSearch.faces.xwar|0.190
/custIdx/pages/cust/custquickentry/custQuickEntry.faces|4.37543
/custIdx/pages/cust/custSearch.faces.xwar|0.18769
/custIdx/pages/cust/custSearch.faces|0.900049
/custIdx/pages/cust/custView.faces.xwar|3.5927
/custIdx/pages/cust/custView.faces|2.20715
/custIdx/pages/cust/custMemberDetails.faces.xwar|2.66675
/custIdx/pages/cust/custMemberDetails.faces|2.30433
/custIdx/pages/cust/custSearch.faces.xwar|0.400955
/custIdx/pages/cust/custSearch.faces|1.32842
/custIdx/pages/cust/maintaincust.faces.xwar|0.906562
/custIdx/pages/cust/maintaincust.faces|2.19669
/custIdx/pages/cust/maintainNonIndexedcust.faces|0.715696
/custIdx/pages/cust/merge/custMerge.faces.xwar|0.292777
/custIdx/pages/cust/merge/custMerge.faces|1.73753
/custIdx/pages/cust/merge/compareCustDemographics.faces|2.31583
/evtMgmt/pages/evtCreate.xhtml|5.37
/evtMgmt/pages/evtMaintain.xhtml|0.720469
/evtMgmt/pages/evtSearch.xhtml|2.594
/consentMgmt/pages/consent/consentForCust/custConsent.xhtml|0.644942
/dashBoardScreen/pages/dashBoardScreen.xhtml|0.135634
/dashBoardScreen/dbContextHeaderServlet|0.259368
/docMgmt/pages/AddNewdocView.xhtml|2.36207
/docMgmt/pages/docDetailsView.xhtml|1.80242
/docMgmt/pages/docMgtUsrViewLayout.xhtml.xwar|0.47208
/docMgmt/pages/docMgtUsrViewLayout.xhtml|1.31804
/docMgmt/pages/docVersionView.xhtml|0.338
/docMgmt/pages/MovedocView.xhtml|0.086
/custWarn/pages/Createcustwarn.xhtml|0.442566
/custWarn/pages/Editcustwarn.xhtml|0.528019
/custWarn/pages/Listcustwarns.xhtml|0.33425
/custWarn/pages/Listcustwarns.xhtml.xwar|0.197
/custWarn/pages/Viewcustwarn.xhtml|0.218827
/custWarn/pages/Viewcustwarn.xhtml.xwar|0.2935
/custWarn/pages/ViewcustwarnsSummary.xhtml|0.459012
/mrktngMgmt/custmrktngMgmtSummary.do|1.67048
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEvent.do.xwar|1.38158
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEvent.do|0.679406
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEventConfirm.do|0.416988
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEventSummary.do|1.61758
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEventSummary.do.xwar|3.142
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEventWorksheetAction.do.xwar|2.49421
/mrktngMgmt/mrktngMgmtEvent/mrktngMgmtEventWorksheetAction.do|0.730058
/salesMgmt/pages/adjs/adjstSearch.xhtml|0.288583
/salesMgmt/pages/adjs/adjstValues.xhtml|0.134981
/salesMgmt/pages/adjs/adjstValuesConfirm.xhtml|0.898089
/salesMgmt/pages/ctlg/ctlgItemSearch.xhtml|0.367895
/salesMgmt/pages/ctlg/ChartOfAct.xhtml|0.272427
/salesMgmt/pages/ctlg/MaintainctlgItems.xhtml|0.162853
/salesMgmt/pages/ctlg/ViewctlgItems.xhtml|1.06144
/salesMgmt/pages/cntrct/Maintaincntrct.xhtml|2.11134
/salesMgmt/pages/cntrct/ProductcntrctDetail.xhtml|1.27699
/salesMgmt/pages/cntrct/SearchAddcntrct.xhtml|0.929118
/salesMgmt/pages/cntrct/Viewcntrct.xhtml|4.778
/salesMgmt/pages/count/AddItemToCount.xhtml|0.446771
/salesMgmt/pages/count/CountItemControl.xhtml|3.435
/salesMgmt/pages/count/salesMgmtReCount.xhtml|1.28769
/salesMgmt/pages/count/MaintainCountItemDetails.xhtml|2.03578
/salesMgmt/pages/forecast/DemandForecast.xhtml|0.174301
/salesMgmt/pages/forecast/DemandForecastSearch.xhtml|0.155279
/issMgmt/pages/issueLogExport.xhtml|0.065744
/issMgmt/pages/issueLogMaintain.xhtml|0.113684
/issMgmt/pages/issueLogSearch.xhtml|4.14402
/rptMgmt/doScheduleAction.do|0.39482
/rptMgmt/openrpt.do|0.4335
/rptMgmt/preparerptAction.do|7.83673
/rptMgmt/prepareScheduleAction.do|0.17266
/rptMgmt/rptData.do|0.708347
/rptMgmt/showAllHistoryAction.do|0.297258
/rptMgmt/showAllStatusAction.do|0.181344
/rptMgmt/showEditIndivStatusAction.do|0.172666
/rptMgmt/showIndivHistoryAction.do|2.20864
/rptMgmt/showIndivStatusAction.do|1.02241
/secMgmt/ErrorLog|0.114353
/secMgmt/MngActIndex.html|0.026621
/secMgmt/pages/audit/AuditExport.faces|0.031
/secMgmt/pages/audit/ViewAuditLog.xhtml|0.502801
/secMgmt/pages/maintainUsrprofile/MngUsrProfile.xhtml|0.447826
/secMgmt/pages/actMgmt/AddUsrLocation.xhtml|0.168391
/secMgmt/pages/actMgmt/AddUsrOrgMembership.xhtml|0.288678
/secMgmt/pages/actMgmt/AddUsrRole.xhtml|0.175995
/secMgmt/pages/actMgmt/CreateUsrAct.xhtml|0.19958
/secMgmt/pages/actMgmt/CreateUsrActtep2.xhtml|0.472353
/secMgmt/pages/actMgmt/UpdateUsrAct.xhtml|0.51998
/secMgmt/pages/actMgmt/UpdateUsrLocation.xhtml|0.23915
/secMgmt/pages/actMgmt/UpdateUsrOrgMembership.xhtml|0.170265
/secMgmt/pages/actMgmt/UpdateUsrRole.xhtml|0.254269
/secMgmt/pages/roleMgmt/MngPerm.xhtml|0.022
/secMgmt/pages/roleMgmt/MngPermets.xhtml|0.195535
/secMgmt/pages/roleMgmt/roleMgmts.xhtml|0.013056
/secMgmt/pages/roleMgmt/SearchRoles.xhtml|0.113378
/secMgmt/pages/roleMgmt/UpdatePermet.xhtml|0.081
/secMgmt/pages/roleMgmt/UpdateRole.xhtml|0.159
/secMgmt/pages/grpMgmt/CreateWorkgroup.xhtml|0.09
/secMgmt/pages/grpMgmt/grpMgmt.xhtml|0.405134
/secMgmt/pages/grpMgmt/ViewUpdateWorkgroup.xhtml|0.32658
/secMgmt/pages/grpMgmt/ViewWorkgroup.xhtml|0.041
/secMgmt/pages/usrSrch/Mng.xhtml|0.318164
/secMgmt/pages/usrSrch/results_none.xhtml|0.223707
/secMgmt/pages/usrSrch/results_normal.xhtml|0.243426
/secMgmt/pages/usrSrch/search.xhtml|0.029
/secMgmt/pages/usrSrch/search.xhtml.xwar|0.161
/secMgmt/pages/usrSrch/system.xhtml|0.077
/secMgmt/roleSelect/loginRoleSelect.xhtml|0.0928423
