ws             	date       	time    	  hr	 rdy	 bsy	  rd	  wr	  ka	 log	 dns	 cls	mwas	mwgt
webhost010 	Nov-03-2017	07:24:47	  07	  71	   4	   0	   0	   4	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	07:39:47	  07	  73	   2	   0	   0	   2	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	07:44:47	  07	  62	  13	   0	   2	  11	   0	   0	   0	   0	   1
webhost010 	Nov-03-2017	07:49:47	  07	  73	   2	   0	   1	   1	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	07:54:47	  07	  72	   3	   0	   0	   3	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	07:59:47	  07	  59	  16	  11	   1	   4	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	08:04:47	  08	  71	   4	   0	   2	   2	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	08:09:47	  08	  73	   2	   0	   0	   2	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:14:47	  08	  62	  13	   5	   1	   7	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	08:19:47	  08	  65	  10	   5	   0	   5	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:24:47	  08	  66	   9	   0	   0	   9	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:29:47	  08	  67	   8	   0	   0	   8	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:34:47	  08	  49	  26	  11	   1	  14	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	08:39:47	  08	  53	  22	  10	   0	  12	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:44:47	  08	  60	  15	   0	   0	  15	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	08:49:48	  08	  60	  15	   5	   2	   8	   0	   0	   0	   1	   1
webhost010 	Nov-03-2017	08:54:48	  08	  46	  29	   5	   6	  18	   0	   0	   0	   4	   2
webhost010 	Nov-03-2017	08:59:48	  08	  45	  33	  21	   0	  12	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	09:04:48	  09	  55	  45	  24	   0	  21	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	09:09:48	  09	  47	  53	  28	   1	  24	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	09:14:48	  09	  50	  50	  25	   3	  22	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	09:19:48	  09	  35	  40	  26	   3	  11	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	09:24:48	  09	  55	  45	  20	   4	  21	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	09:29:48	  09	  49	  51	  20	   4	  27	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	09:34:48	  09	  67	  33	  11	   2	  20	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	09:39:48	  09	  49	  29	  10	   1	  18	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	09:44:48	  09	  59	  16	   0	   3	  13	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	09:49:48	  09	  66	  34	  14	   4	  16	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	09:54:48	  09	  52	  23	  10	   2	  11	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	09:59:48	  09	  24	  51	  25	   3	  23	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	10:04:48	  10	  39	  36	  21	   3	  12	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	10:09:48	  10	  40	  37	  19	   4	  14	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	10:14:48	  10	  48	  55	  26	   2	  27	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	10:19:48	  10	  62	  38	  20	   2	  16	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	10:24:48	  10	  38	  37	  17	   2	  18	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	10:29:48	  10	  45	  30	  10	   3	  17	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	10:34:49	  10	  56	  26	   8	   2	  16	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	10:39:49	  10	  41	  34	  16	   2	  16	   0	   0	   0	   2	   0
